card_name,games_with_card,losses_with_card,loss_rate_with_card,loss_lift_vs_baseline,loss_odds_ratio_approx
Scrooge's Counting House - Ebenezer's Office,5,4,0.8,0.39526261585993827,1.97658791789601
Lilo - Bundled Up,9,7,0.7777777777777778,0.373040393637716,1.921682766585893
Rex - Protective Dinosaur,8,6,0.75,0.3452626158599382,1.8530513274482472
Pocahontas - Following the Wind,10,7,0.7,0.2952626158599382,1.7295147370004846
Goofy - Super Goof,6,4,0.6666666666666666,0.26192928252660486,1.6471570100353095
Jiminy Cricket - Ghost of Christmas Past,6,4,0.6666666666666666,0.26192928252660486,1.6471570100353095
Rajah - Devoted Protector,6,4,0.6666666666666666,0.26192928252660486,1.6471570100353095
Lenny - Toy Binoculars,8,5,0.625,0.22026261585993823,1.544209851328841
Rhino - One-Sixteenth Wolf,8,5,0.625,0.22026261585993823,1.544209851328841
Strike a Good Match,10,6,0.6,0.1952626158599382,1.4824415561049595
Clarabelle - Light on Her Hooves,5,3,0.6,0.1952626158599382,1.4824415561049595
Sina - Vigilant Parent,5,3,0.6,0.1952626158599382,1.4824415561049595
The Prince - Searching for His Love,5,3,0.6,0.1952626158599382,1.4824415561049595
White Rabbit - Late Again,5,3,0.6,0.1952626158599382,1.4824415561049595
Piglet - Pooh Pirate Captain,54,32,0.5925925925925926,0.1878552084525308,1.4641398390015872
Bobby Zimuruski - Spray Cheese Kid,12,7,0.5833333333333334,0.1785959491932716,1.4412626926223722
Nani's Payback,7,4,0.5714285714285714,0.16669118728850962,1.4118492187062381
Lady - Decisive Dog,46,25,0.5434782608695652,0.13874087672950342,1.3427914973379236
Cinderella - Ballroom Sensation,48,26,0.5416666666666666,0.13692928252660486,1.3383155339159032
Lilo - Escape Artist,13,7,0.5384615384615384,0.13372415432147666,1.3303965217077134
The Troubadour - Musical Narrator,13,7,0.5384615384615384,0.13372415432147666,1.3303965217077134
Christopher Robin - Joining the Fun,31,16,0.5161290322580645,0.11139164811800273,1.2752188882570998
Webby Vanderquack - Junior Prospector,31,16,0.5161290322580645,0.11139164811800273,1.2752188882570998
Mulan - Resourceful Recruit,42,21,0.5,0.09526261585993823,1.2353683752094344
Lady - Miss Park Avenue,24,12,0.5,0.09526261585993823,1.2353683752094344
Akood et Emuti,20,10,0.5,0.09526261585993823,1.2353683752094344
Nala - Undaunted Lioness,8,4,0.5,0.09526261585993823,1.2353683752094344
Captain Hook - Forceful Duelist,6,3,0.5,0.09526261585993823,1.2353683752094344
Ursula - Deceiver,63,31,0.49206349206349204,0.08732610792343026,1.2157593925986783
Daisy Duck - Donald's Date,73,35,0.4794520547945205,0.07471467065445875,1.1845999133815868
Go Go Tomago - Darting Dynamo,23,11,0.4782608695652174,0.07352348542515563,1.1816568141451897
Tipo - Growing Son,67,32,0.47761194029850745,0.07287455615844568,1.1800534839641674
Kit Cloudkicker - Tough Guy,19,9,0.47368421052631576,0.06894682638625399,1.170349117079033
Ursula - Vanessa,26,12,0.46153846153846156,0.05680107739839979,1.1403402287111555
Hidden Inkcaster,13,6,0.46153846153846156,0.05680107739839979,1.1403402287111555
Signed Contract,13,6,0.46153846153846156,0.05680107739839979,1.1403402287111555
Tramp - Street-Smart Dog,13,6,0.46153846153846156,0.05680107739839979,1.1403402287111555
We Don't Talk About Bruno,13,6,0.46153846153846156,0.05680107739839979,1.1403402287111555
Develop Your Brain,50,23,0.46,0.05526261585993825,1.1365391028512244
Be Prepared,11,5,0.45454545454545453,0.04980807040539276,1.1230623838932865
Olaf - Snowman of Action,20,9,0.45,0.04526261585993824,1.1118317847616719
Syndrome - Evil Inventor,9,4,0.4444444444444444,0.039707060304382646,1.0981054969341426
The Bare Necessities,9,4,0.4444444444444444,0.039707060304382646,1.0981054969341426
Cogsworth - Grandfather Clock,28,12,0.42857142857142855,0.023834044431366774,1.0588875317126307
Brom Bones - Burly Bully,21,9,0.42857142857142855,0.023834044431366774,1.0588875317126307
Grandmother Willow - Ancient Advisor,14,6,0.42857142857142855,0.023834044431366774,1.0588875317126307
Strength of a Raging Fire,14,6,0.42857142857142855,0.023834044431366774,1.0588875317126307
Cursed Merfolk - Ursula's Handiwork,7,3,0.42857142857142855,0.023834044431366774,1.0588875317126307
Hercules - Spectral Demigod,7,3,0.42857142857142855,0.023834044431366774,1.0588875317126307
Prince Naveen - Ukulele Player,7,3,0.42857142857142855,0.023834044431366774,1.0588875317126307
Kida - Creative Thinker,19,8,0.42105263157894735,0.01631524743888557,1.0403106008182303
Gramma Tala - Keeper of Ancient Stories,31,13,0.41935483870967744,0.014617454569615662,1.0361158099711076
Sail the Azurite Sea,55,23,0.41818181818181815,0.013444434041756381,1.0332175908403682
Ariel - Ethereal Voice,24,10,0.4166666666666667,0.011929282526604912,1.029474057796497
Gathering Knowledge and Wisdom,12,5,0.4166666666666667,0.011929282526604912,1.029474057796497
How Far I'll Go,12,5,0.4166666666666667,0.011929282526604912,1.029474057796497
Rhino - Power Hamster,12,5,0.4166666666666667,0.011929282526604912,1.029474057796497
Diablo - Maleficent's Spy,29,12,0.41379310344827586,0.009055719308214083,1.0223742537477747
Gadget's Goggles,29,12,0.41379310344827586,0.009055719308214083,1.0223742537477747
Will o' the Wisp - Forest Spirit,34,14,0.4117647058823529,0.007027321742291148,1.0173626273604415
Dig a Little Deeper,17,7,0.4117647058823529,0.007027321742291148,1.0173626273604415
Merlin - Crab,17,7,0.4117647058823529,0.007027321742291148,1.0173626273604415
Doc - Bold Knight,32,13,0.40625,0.0015126158599382267,1.0037372681198795
Eilonwy - Princess of Llyr,30,12,0.4,-0.004737384140061751,0.9882951943139093
Painting the Roses Red,10,4,0.4,-0.004737384140061751,0.9882951943139093
Genie - Magical Researcher,5,2,0.4,-0.004737384140061751,0.9882951943139093
Let the Storm Rage On,5,2,0.4,-0.004737384140061751,0.9882951943139093
Luisa Madrigal - Pushing Through,5,2,0.4,-0.004737384140061751,0.9882951943139093
Magic Broom - Illuminary Keeper,5,2,0.4,-0.004737384140061751,0.9882951943139093
The Nokk - Water Spirit,5,2,0.4,-0.004737384140061751,0.9882951943139093
Wasabi - Methodical Engineer,5,2,0.4,-0.004737384140061751,0.9882951943139093
Vision of the Future,53,21,0.39622641509433965,-0.008510969045722128,0.9789716780537008
Mr. Smee - Bumbling Mate,43,17,0.3953488372093023,-0.009388546930759467,0.9768034184583034
Madam Mim - Snake,38,15,0.39473684210526316,-0.01000054203479861,0.975291342687829
Ariel - Spectacular Singer,51,20,0.39215686274509803,-0.01258052139496374,0.968916905616221
Keep the Ancient Ways,23,9,0.391304347826087,-0.0134330363139748,0.9668105698882115
Rapunzel - Gifted with Healing,54,21,0.3888888888888889,-0.01584849525117288,0.9608426186588509
Belle - Apprentice Inventor,346,134,0.3872832369942196,-0.017454147145842147,0.9568754834485823
Sisu - Daring Visitor,297,115,0.3872053872053872,-0.017531996934674554,0.9566831374989936
