card_name_a,card_name_b,games,wins,win_rate,win_lift_vs_baseline
Brawl,Tamatoa - So Shiny!,29,29,1.0,0.4036939313984169
Ghostly Tale,"Next Stop, Olympus",15,15,1.0,0.4036939313984169
Ghostly Tale,Sail the Azurite Sea,14,14,1.0,0.4036939313984169
Liquidator - Iced Over,Tamatoa - So Shiny!,14,14,1.0,0.4036939313984169
Develop Your Brain,Ghostly Tale,13,13,1.0,0.4036939313984169
Ghostly Tale,Vision of the Future,13,13,1.0,0.4036939313984169
Ghostly Tale,Scuttle - Birdbrained,11,11,1.0,0.4036939313984169
Ghostly Tale,What Else Can I Do?,11,11,1.0,0.4036939313984169
Tamatoa - Happy as a Clam,Tamatoa - So Shiny!,9,9,1.0,0.4036939313984169
Oswald - The Lucky Rabbit,The Sword of Shan-Yu,8,8,1.0,0.4036939313984169
Cinderella - Dream Come True,Ghostly Tale,7,7,1.0,0.4036939313984169
Dig a Little Deeper,Ghostly Tale,7,7,1.0,0.4036939313984169
Hidden Inkcaster,Tamatoa - Happy as a Clam,7,7,1.0,0.4036939313984169
Maui - Hero to All,Ruby Chromicon,7,7,1.0,0.4036939313984169
Scrooge McDuck - Resourceful Miser,The Sword of Shan-Yu,7,7,1.0,0.4036939313984169
Scrooge McDuck - Resourceful Miser,Under the Sea,7,7,1.0,0.4036939313984169
Cogsworth - Grandfather Clock,Ghostly Tale,6,6,1.0,0.4036939313984169
Ghostly Tale,Someone Will Lose His Head,6,6,1.0,0.4036939313984169
Gold Coin,The Sword of Shan-Yu,6,6,1.0,0.4036939313984169
Lucky Dime,Maui's Fish Hook,6,6,1.0,0.4036939313984169
Lucky Dime,The Sword of Shan-Yu,6,6,1.0,0.4036939313984169
Ratigan's Marvelous Trap,Tamatoa - Happy as a Clam,6,6,1.0,0.4036939313984169
Ratigan's Marvelous Trap,Under the Sea,6,6,1.0,0.4036939313984169
Sisu - Empowered Sibling,The Sword of Shan-Yu,6,6,1.0,0.4036939313984169
Tamatoa - Happy as a Clam,Under the Sea,6,6,1.0,0.4036939313984169
The Sword of Shan-Yu,Unconventional Tool,6,6,1.0,0.4036939313984169
The Sword of Shan-Yu,Vitalisphere,6,6,1.0,0.4036939313984169
Brom Bones - Burly Bully,Lucky Dime,5,5,1.0,0.4036939313984169
Eilonwy - Princess of Llyr,Lady - Miss Park Avenue,5,5,1.0,0.4036939313984169
Galactic Communicator,Under the Sea,5,5,1.0,0.4036939313984169
Maui's Fish Hook,Tamatoa - So Shiny!,5,5,1.0,0.4036939313984169
Mowgli - Man Cub,Under the Sea,5,5,1.0,0.4036939313984169
Basil's Magnifying Glass,Tamatoa - So Shiny!,55,54,0.9818181818181818,0.38551211321659873
