card_name,games_drawn,losses_drawn,games_played,losses_played,games_inked,losses_inked,loss_rate_drawn,loss_rate_played,loss_rate_inked,play_through_rate,loss_lift_when_played
Mrs. Beakley - Former S.H.U.S.H. Agent,9,4,1,1,3,1,0.4444444444444444,1.0,0.3333333333333333,0.1111111111111111,0.5963060686015831
The Queen - Diviner,9,5,5,5,6,4,0.5555555555555556,1.0,0.6666666666666666,0.5555555555555556,0.5963060686015831
Shield of Virtue,5,2,3,2,4,1,0.4,0.6666666666666666,0.25,0.6,0.26297273526824977
Piglet - Pooh Pirate Captain,10,2,76,46,35,18,0.2,0.6052631578947368,0.5142857142857142,7.6,0.20156922649631998
Hidden Cove - Tranquil Haven,9,2,15,9,13,4,0.2222222222222222,0.6,0.3076923076923077,1.6666666666666667,0.19630606860158312
Webby Vanderquack - Junior Prospector,15,5,24,13,21,9,0.3333333333333333,0.5416666666666666,0.42857142857142855,1.6,0.13797273526824977
Brom Bones - Burly Bully,96,42,30,16,65,26,0.4375,0.5333333333333333,0.4,0.3125,0.12963940193491647
Daisy Duck - Donald's Date,17,5,127,67,0,0,0.29411764705882354,0.5275590551181102,,7.470588235294118,0.12386512371969333
Cinderella - Ballroom Sensation,14,7,96,50,79,36,0.5,0.5208333333333334,0.45569620253164556,6.857142857142857,0.11713940193491651
Lady - Miss Park Avenue,19,6,52,27,0,0,0.3157894736842105,0.5192307692307693,,2.736842105263158,0.11553683783235241
Tramp - Enterprising Dog,17,8,51,26,51,23,0.47058823529411764,0.5098039215686274,0.45098039215686275,3.0,0.10610999017021056
Lady - Decisive Dog,17,6,91,46,21,13,0.35294117647058826,0.5054945054945055,0.6190476190476191,5.352941176470588,0.10180057409608861
Sudden Chill,12,5,119,60,40,20,0.4166666666666667,0.5042016806722689,0.5,9.916666666666666,0.10050774927385203
Strength of a Raging Fire,9,3,134,67,108,46,0.3333333333333333,0.5,0.42592592592592593,14.88888888888889,0.09630606860158314
Jiminy Cricket - Ghost of Christmas Past,5,3,2,1,4,3,0.6,0.5,0.75,0.4,0.09630606860158314
Kit Cloudkicker - Tough Guy,14,6,20,10,31,11,0.42857142857142855,0.5,0.3548387096774194,1.4285714285714286,0.09630606860158314
Gathering Knowledge and Wisdom,10,3,24,12,0,0,0.3,0.5,,2.4,0.09630606860158314
The Bare Necessities,8,4,30,15,10,6,0.5,0.5,0.6,3.75,0.09630606860158314
Will o' the Wisp - Forest Spirit,15,7,38,19,36,15,0.4666666666666667,0.5,0.4166666666666667,2.533333333333333,0.09630606860158314
Syndrome - Evil Inventor,9,5,4,2,8,3,0.5555555555555556,0.5,0.375,0.4444444444444444,0.09630606860158314
Mulan - Resourceful Recruit,13,6,67,33,21,11,0.46153846153846156,0.4925373134328358,0.5238095238095238,5.153846153846154,0.08884338203441894
Diablo - Devoted Herald,11,3,135,66,0,0,0.2727272727272727,0.4888888888888889,,12.272727272727273,0.08519495749047201
Grandmother Willow - Ancient Advisor,5,2,45,22,0,0,0.4,0.4888888888888889,,9.0,0.08519495749047201
Doc - Bold Knight,16,8,70,34,0,0,0.5,0.4857142857142857,,4.375,0.08202035431586885
Mowgli - Man Cub,15,6,54,26,28,17,0.4,0.48148148148148145,0.6071428571428571,3.6,0.0777875500830646
Go Go Tomago - Darting Dynamo,12,4,23,11,37,15,0.3333333333333333,0.4782608695652174,0.40540540540540543,1.9166666666666667,0.07456693816680054
Prince John - Greediest of All,10,4,126,60,0,0,0.4,0.47619047619047616,,12.6,0.0724965447920593
Nani - Stage Manager,19,7,78,37,45,24,0.3684210526315789,0.47435897435897434,0.5333333333333333,4.105263157894737,0.07066504296055748
The Muses - Proclaimers of Heroes,7,2,61,28,75,32,0.2857142857142857,0.45901639344262296,0.4266666666666667,8.714285714285714,0.0553224620442061
Eilonwy - Princess of Llyr,10,2,42,19,32,14,0.2,0.4523809523809524,0.4375,4.2,0.04868702098253552
Diablo - Maleficent's Spy,11,3,135,61,78,39,0.2727272727272727,0.45185185185185184,0.5,12.272727272727273,0.04815792045343498
Ursula - Vanessa,6,3,45,20,34,14,0.5,0.4444444444444444,0.4117647058823529,7.5,0.04075051304602756
Gadget's Goggles,25,8,18,8,16,7,0.32,0.4444444444444444,0.4375,0.72,0.04075051304602756
Keep the Ancient Ways,19,9,70,31,32,12,0.47368421052631576,0.44285714285714284,0.375,3.6842105263157894,0.03916321145872598
Webby Vanderquack - Mystery Enthusiast,15,5,34,15,21,11,0.3333333333333333,0.4411764705882353,0.5238095238095238,2.2666666666666666,0.03748253918981842
Bobby Zimuruski - Spray Cheese Kid,8,5,25,11,11,7,0.625,0.44,0.6363636363636364,3.125,0.03630606860158314
Ratigan's Marvelous Trap,12,5,25,11,2,0,0.4166666666666667,0.44,0.0,2.0833333333333335,0.03630606860158314
We Don't Talk About Bruno,13,6,73,32,64,25,0.46153846153846156,0.4383561643835616,0.390625,5.615384615384615,0.03466223298514476
Hidden Inkcaster,14,6,32,14,3,1,0.42857142857142855,0.4375,0.3333333333333333,2.2857142857142856,0.03380606860158314
Ariel - Ethereal Voice,13,6,39,17,21,8,0.46153846153846156,0.4358974358974359,0.38095238095238093,3.0,0.03220350449901904
Mr. Smee - Bumbling Mate,14,5,53,23,30,16,0.35714285714285715,0.4339622641509434,0.5333333333333333,3.7857142857142856,0.03026833275252655
The Sword Released,11,5,7,3,0,0,0.45454545454545453,0.42857142857142855,,0.6363636363636364,0.024877497173011687
Christopher Robin - Joining the Fun,13,7,40,17,26,12,0.5384615384615384,0.425,0.46153846153846156,3.076923076923077,0.021306068601583128
Under the Sea,30,13,45,19,2,1,0.43333333333333335,0.4222222222222222,0.5,1.5,0.01852829082380536
Akood et Emuti,15,8,109,46,0,0,0.5333333333333333,0.42201834862385323,,7.266666666666667,0.018324417225436374
Dig a Little Deeper,13,6,19,8,0,0,0.46153846153846156,0.42105263157894735,,1.4615384615384615,0.017358700180530484
Madam Mim - Snake,18,7,50,21,49,23,0.3888888888888889,0.42,0.46938775510204084,2.7777777777777777,0.016306068601583124
Incrediboy - Buddy Pine,15,6,12,5,5,1,0.4,0.4166666666666667,0.2,0.8,0.012972735268249824
Pete - Games Referee,23,9,126,52,120,53,0.391304347826087,0.4126984126984127,0.44166666666666665,5.478260869565218,0.009004481299995815
Snow Fort,14,6,73,30,0,0,0.42857142857142855,0.410958904109589,,5.214285714285714,0.007264972711172157
Brawl,329,121,200,82,267,92,0.3677811550151976,0.41,0.3445692883895131,0.60790273556231,0.006306068601583115
Strike a Good Match,11,6,22,9,7,2,0.5454545454545454,0.4090909090909091,0.2857142857142857,2.0,0.005396977692492255
Rapunzel - Gifted with Healing,22,7,77,31,109,49,0.3181818181818182,0.4025974025974026,0.44954128440366975,3.5,-0.0010965288010142404
Cogsworth - Grandfather Clock,15,5,20,8,19,8,0.3333333333333333,0.4,0.42105263157894735,1.3333333333333333,-0.0036939313984168387
Nani's Payback,8,4,5,2,9,3,0.5,0.4,0.3333333333333333,0.625,-0.0036939313984168387
Vision of the Future,34,17,85,34,62,28,0.5,0.4,0.45161290322580644,2.5,-0.0036939313984168387
Lyle Tiberius Rourke - Adventurer for Hire,7,4,5,2,3,0,0.5714285714285714,0.4,0.0,0.7142857142857143,-0.0036939313984168387
Ariel - Spectacular Singer,14,7,94,37,32,15,0.5,0.39361702127659576,0.46875,6.714285714285714,-0.010076910121821103
Maui - Hero to All,204,72,119,46,224,78,0.35294117647058826,0.3865546218487395,0.3482142857142857,0.5833333333333334,-0.01713930954967735
Sisu - Daring Visitor,409,141,420,162,5,0,0.34474327628361856,0.38571428571428573,0.0,1.0268948655256724,-0.01797964568413113
Develop Your Brain,25,12,89,34,33,12,0.48,0.38202247191011235,0.36363636363636365,3.56,-0.021671459488304512
Gramma Tala - Keeper of Ancient Stories,9,4,48,18,40,15,0.4444444444444444,0.375,0.375,5.333333333333333,-0.02869393139841686
McDuck Manor - Scrooge's Mansion,6,1,48,18,30,12,0.16666666666666666,0.375,0.4,8.0,-0.02869393139841686
Tipo - Growing Son,38,20,70,26,134,52,0.5263157894736842,0.37142857142857144,0.3880597014925373,1.8421052631578947,-0.03226535996984542
How Far I'll Go,6,2,62,23,0,0,0.3333333333333333,0.3709677419354839,,10.333333333333334,-0.032726189462932986
Pawpsicle,413,148,545,202,136,41,0.3583535108958838,0.3706422018348624,0.3014705882352941,1.3196125907990315,-0.033051729563554455
Giant Cobra - Ghostly Serpent,15,5,27,10,18,5,0.3333333333333333,0.37037037037037035,0.2777777777777778,1.8,-0.03332356102804651
Sail the Azurite Sea,34,15,158,58,113,39,0.4411764705882353,0.3670886075949367,0.34513274336283184,4.647058823529412,-0.03660532380348014
Ursula - Deceiver,33,15,143,52,141,68,0.45454545454545453,0.36363636363636365,0.48226950354609927,4.333333333333333,-0.040057567762053214
Sapphire Coil,423,152,474,172,286,114,0.35933806146572106,0.3628691983122363,0.3986013986013986,1.1205673758865249,-0.040824733086180565
Inkrunner,429,153,433,157,285,112,0.35664335664335667,0.3625866050808314,0.3929824561403509,1.0093240093240092,-0.04110732631758546
Maurice's Workshop,395,141,499,178,8,3,0.3569620253164557,0.35671342685370744,0.375,1.2632911392405064,-0.04698050454470942
Belle - Apprentice Inventor,424,150,359,128,343,130,0.35377358490566035,0.3565459610027855,0.37900874635568516,0.8466981132075472,-0.047147970395631345
Vitalisphere,350,121,343,122,246,86,0.3457142857142857,0.3556851311953353,0.34959349593495936,0.98,-0.04800880020308157
Tamatoa - Happy as a Clam,46,21,111,39,105,38,0.45652173913043476,0.35135135135135137,0.3619047619047619,2.4130434782608696,-0.05234258004706549
A Pirate's Life,7,4,29,10,52,16,0.5714285714285714,0.3448275862068966,0.3076923076923077,4.142857142857143,-0.058866345191520286
Scrooge McDuck - Resourceful Miser,417,139,439,151,183,89,0.3333333333333333,0.3439635535307517,0.48633879781420764,1.052757793764988,-0.05973037786766516
Hide Away,64,26,50,17,52,24,0.40625,0.34,0.46153846153846156,0.78125,-0.06369393139841684
Liquidator - Iced Over,309,116,103,35,311,108,0.37540453074433655,0.33980582524271846,0.34726688102893893,0.3333333333333333,-0.0638881061556984
Archimedes - Resourceful Owl,7,4,6,2,3,1,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.8571428571428571,-0.07036059806508355
Painting the Roses Red,8,4,9,3,15,7,0.5,0.3333333333333333,0.4666666666666667,1.125,-0.07036059806508355
Oswald - The Lucky Rabbit,372,115,435,145,3,0,0.30913978494623656,0.3333333333333333,0.0,1.1693548387096775,-0.07036059806508355
"Next Stop, Olympus",16,7,30,10,22,9,0.4375,0.3333333333333333,0.4090909090909091,1.875,-0.07036059806508355
What Else Can I Do?,15,6,21,7,0,0,0.4,0.3333333333333333,,1.4,-0.07036059806508355
John Smith - Skillful Explorer,12,4,15,5,0,0,0.3333333333333333,0.3333333333333333,,1.25,-0.07036059806508355
Maui - Half-Shark,25,10,94,31,35,9,0.4,0.32978723404255317,0.2571428571428571,3.76,-0.07390669735586369
Merlin - Goat,18,6,86,28,56,17,0.3333333333333333,0.32558139534883723,0.30357142857142855,4.777777777777778,-0.07811253604957963
Cinderella - Dream Come True,5,3,37,12,0,0,0.6,0.32432432432432434,,7.4,-0.07936960707409252
Olaf - Snowman of Action,8,6,28,9,34,15,0.75,0.32142857142857145,0.4411764705882353,3.5,-0.08226535996984541
Fire the Cannons!,16,5,25,8,0,0,0.3125,0.32,,1.5625,-0.08369393139841685
Diablo - Obedient Raven,18,7,91,29,50,19,0.3888888888888889,0.31868131868131866,0.38,5.055555555555555,-0.0850126127170982
Unconventional Tool,379,143,266,84,369,137,0.37730870712401055,0.3157894736842105,0.3712737127371274,0.7018469656992085,-0.08790445771420635
Merryweather - Feisty Fairy,8,5,45,14,36,12,0.625,0.3111111111111111,0.3333333333333333,5.625,-0.09258282028730574
Gold Coin,216,67,177,55,144,49,0.3101851851851852,0.3107344632768362,0.3402777777777778,0.8194444444444444,-0.09295946812158068
Friends on the Other Side,9,4,120,37,52,14,0.4444444444444444,0.30833333333333335,0.2692307692307692,13.333333333333334,-0.09536059806508351
A Whole New World,5,3,26,8,0,0,0.6,0.3076923076923077,,5.2,-0.09600162370610915
Basil's Magnifying Glass,298,95,223,67,177,54,0.3187919463087248,0.3004484304932735,0.3050847457627119,0.7483221476510067,-0.10324550090514334
Jebidiah Farnsworth - Cookie,17,6,30,9,78,30,0.35294117647058826,0.3,0.38461538461538464,1.7647058823529411,-0.10369393139841687
Might Solve a Mystery,94,22,67,19,70,26,0.23404255319148937,0.2835820895522388,0.37142857142857144,0.7127659574468085,-0.12011184184617807
Fishbone Quill,401,148,355,100,291,114,0.3690773067331671,0.28169014084507044,0.3917525773195876,0.885286783042394,-0.12200379055334643
Kida - Creative Thinker,12,8,18,5,19,7,0.6666666666666666,0.2777777777777778,0.3684210526315789,1.5,-0.12591615362063907
Scuttle - Birdbrained,26,11,49,13,23,9,0.4230769230769231,0.2653061224489796,0.391304347826087,1.8846153846153846,-0.13838780894943725
Amethyst Chromicon,13,2,23,6,17,3,0.15384615384615385,0.2608695652173913,0.17647058823529413,1.7692307692307692,-0.14282436618102556
Sisu - Empowered Sibling,415,139,343,89,5,1,0.3349397590361446,0.2594752186588921,0.2,0.8265060240963855,-0.14421871273952475
Galactic Communicator,8,1,8,2,3,1,0.125,0.25,0.3333333333333333,1.0,-0.15369393139841686
Great Stone Dragon,19,9,12,3,15,3,0.47368421052631576,0.25,0.2,0.631578947368421,-0.15369393139841686
Someone Will Lose His Head,19,7,13,3,14,8,0.3684210526315789,0.23076923076923078,0.5714285714285714,0.6842105263157895,-0.17292470062918608
Maui's Fish Hook,21,8,13,3,20,7,0.38095238095238093,0.23076923076923078,0.35,0.6190476190476191,-0.17292470062918608
Be Prepared,6,3,96,22,0,0,0.5,0.22916666666666666,,16.0,-0.1745272647317502
Ruby Chromicon,87,21,52,11,82,19,0.2413793103448276,0.21153846153846154,0.23170731707317074,0.5977011494252874,-0.19215546985995532
Lucky Dime,193,54,160,33,1,0,0.27979274611398963,0.20625,0.0,0.8290155440414507,-0.19744393139841687
Signed Contract,12,5,10,2,18,9,0.4166666666666667,0.2,0.5,0.8333333333333334,-0.20369393139841685
Lucifer - Cunning Cat,5,2,6,1,0,0,0.4,0.16666666666666666,,1.2,-0.2370272647317502
Tamatoa - So Shiny!,226,66,110,14,115,56,0.2920353982300885,0.12727272727272726,0.48695652173913045,0.48672566371681414,-0.2764212041256896
The Sword of Shan-Yu,16,5,9,1,11,3,0.3125,0.1111111111111111,0.2727272727272727,0.5625,-0.29258282028730576
Ghostly Tale,21,8,17,1,16,5,0.38095238095238093,0.058823529411764705,0.3125,0.8095238095238095,-0.34487040198665214
Hermes - Harried Messenger,13,3,3,0,13,3,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,-0.40369393139841686
The Nokk - Water Spirit,6,2,3,0,3,2,0.3333333333333333,0.0,0.6666666666666666,0.5,-0.40369393139841686
