turn_number,avg_lore_per_turn,outcome,cumulative_avg_lore
3,1.0,Loss,1.0
4,2.0,Loss,3.0
5,1.5,Loss,4.5
6,1.0,Loss,5.5
7,1.0,Loss,6.5
8,1.0,Loss,7.5
10,1.0,Loss,8.5
11,1.0,Loss,9.5
12,1.0,Loss,10.5
13,1.0,Loss,11.5
14,1.0,Loss,12.5
15,1.0,Loss,13.5
3,1.0,Win,1.0
4,1.25,Win,2.25
5,1.0,Win,3.25
6,1.0,Win,4.25
7,1.1666666666666667,Win,5.416666666666667
8,1.1428571428571428,Win,6.55952380952381
9,1.1111111111111112,Win,7.670634920634921
10,1.3125,Win,8.983134920634921
11,1.0769230769230769,Win,10.060057997557998
12,1.1818181818181819,Win,11.24187617937618
13,1.0,Win,12.24187617937618
14,1.2222222222222223,Win,13.464098401598402
15,1.0,Win,14.464098401598402
