archetype,opponent_colors,games,wins,losses,win_rate
Unknown,Amber/Emerald,160,79,81,0.49375
Unknown,Amber/Amethyst,28,14,14,0.5
Unknown,Amber/Steel,148,80,68,0.5405405405405406
Unknown,Amber/Ruby,21,12,9,0.5714285714285714
Unknown,Sapphire/Emerald,61,35,26,0.5737704918032787
Unknown,Amethyst/Steel,55,32,23,0.5818181818181818
Unknown,Sapphire/Steel,49,29,20,0.5918367346938775
Unknown,Steel/Emerald,89,54,35,0.6067415730337079
Unknown,Amethyst/Emerald,51,32,19,0.6274509803921569
Unknown,Ruby/Sapphire,88,57,31,0.6477272727272727
Unknown,Ruby/Amethyst,84,55,29,0.6547619047619048
Unknown,Amber/Sapphire,24,16,8,0.6666666666666666
Unknown,Sapphire/Amethyst,96,68,28,0.7083333333333334
Unknown,Ruby/Emerald,12,11,1,0.9166666666666666
