card_name,games_with_card,losses_with_card,loss_rate_with_card,loss_lift_vs_baseline
Olaf - Snowman of Action,8,6,0.75,0.3452626158599382
Merryweather - Feisty Fairy,7,5,0.7142857142857143,0.30954833014565253
Kida - Creative Thinker,9,6,0.6666666666666666,0.26192928252660486
The Bare Necessities,6,4,0.6666666666666666,0.26192928252660486
Ariel - Spectacular Singer,8,5,0.625,0.22026261585993823
Doc - Bold Knight,10,6,0.6,0.1952626158599382
A Pirate's Life,5,3,0.6,0.1952626158599382
A Whole New World,5,3,0.6,0.1952626158599382
Be Prepared,5,3,0.6,0.1952626158599382
Bobby Zimuruski - Spray Cheese Kid,5,3,0.6,0.1952626158599382
Kit Cloudkicker - Tough Guy,5,3,0.6,0.1952626158599382
Painting the Roses Red,5,3,0.6,0.1952626158599382
Signed Contract,5,3,0.6,0.1952626158599382
Vision of the Future,24,14,0.5833333333333334,0.1785959491932716
Tramp - Enterprising Dog,12,7,0.5833333333333334,0.1785959491932716
Cinderella - Ballroom Sensation,7,4,0.5714285714285714,0.16669118728850962
Lyle Tiberius Rourke - Adventurer for Hire,7,4,0.5714285714285714,0.16669118728850962
Strike a Good Match,9,5,0.5555555555555556,0.1508181714154938
Will o' the Wisp - Forest Spirit,9,5,0.5555555555555556,0.1508181714154938
Tamatoa - Happy as a Clam,20,11,0.55,0.14526261585993827
Pete - Games Referee,15,8,0.5333333333333333,0.12859594919327155
Develop Your Brain,19,10,0.5263157894736842,0.12157840533362241
Tipo - Growing Son,32,16,0.5,0.09526261585993823
"Next Stop, Olympus",14,7,0.5,0.09526261585993823
Fire the Cannons!,10,5,0.5,0.09526261585993823
Madam Mim - Snake,10,5,0.5,0.09526261585993823
Mulan - Resourceful Recruit,10,5,0.5,0.09526261585993823
Brom Bones - Burly Bully,8,4,0.5,0.09526261585993823
Hidden Inkcaster,6,3,0.5,0.09526261585993823
Scuttle - Birdbrained,21,10,0.47619047619047616,0.07145309205041439
Ursula - Deceiver,21,10,0.47619047619047616,0.07145309205041439
Fishbone Quill,141,67,0.475177304964539,0.07043992082447725
Under the Sea,19,9,0.47368421052631576,0.06894682638625399
Snow Fort,13,6,0.46153846153846156,0.05680107739839979
Gadget's Goggles,11,5,0.45454545454545453,0.04980807040539276
Akood et Emuti,9,4,0.4444444444444444,0.039707060304382646
Christopher Robin - Joining the Fun,9,4,0.4444444444444444,0.039707060304382646
Mowgli - Man Cub,9,4,0.4444444444444444,0.039707060304382646
Sapphire Coil,160,71,0.44375,0.039012615859938204
Ghostly Tale,16,7,0.4375,0.03276261585993823
Maui - Hero to All,103,45,0.4368932038834951,0.032155819743433345
Maui - Half-Shark,23,10,0.43478260869565216,0.03004522455559039
Ariel - Ethereal Voice,7,3,0.42857142857142855,0.023834044431366774
Friends on the Other Side,7,3,0.42857142857142855,0.023834044431366774
Gramma Tala - Keeper of Ancient Stories,7,3,0.42857142857142855,0.023834044431366774
Mrs. Beakley - Former S.H.U.S.H. Agent,7,3,0.42857142857142855,0.023834044431366774
Syndrome - Evil Inventor,7,3,0.42857142857142855,0.023834044431366774
Sail the Azurite Sea,26,11,0.4230769230769231,0.0183395389368613
Maurice's Workshop,147,62,0.4217687074829932,0.017031323342931448
Liquidator - Iced Over,103,43,0.4174757281553398,0.012738344015278014
Dig a Little Deeper,12,5,0.4166666666666667,0.011929282526604912
Scrooge McDuck - Resourceful Miser,159,66,0.41509433962264153,0.010356955482579755
Belle - Apprentice Inventor,152,63,0.4144736842105263,0.009736300070464554
Vitalisphere,127,52,0.4094488188976378,0.004711434757576016
What Else Can I Do?,15,6,0.4,-0.004737384140061751
Incrediboy - Buddy Pine,10,4,0.4,-0.004737384140061751
We Don't Talk About Bruno,10,4,0.4,-0.004737384140061751
Maui's Fish Hook,5,2,0.4,-0.004737384140061751
Nani's Payback,5,2,0.4,-0.004737384140061751
The Muses - Proclaimers of Heroes,5,2,0.4,-0.004737384140061751
Pawpsicle,181,72,0.39779005524861877,-0.006947328891443005
Sisu - Daring Visitor,152,59,0.3881578947368421,-0.016579489403219683
Jebidiah Farnsworth - Cookie,13,5,0.38461538461538464,-0.020121999524677137
Brawl,133,51,0.38345864661654133,-0.02127873752352044
Sisu - Empowered Sibling,142,54,0.38028169014084506,-0.02445569399921671
Prince John - Greediest of All,8,3,0.375,-0.029737384140061773
Tamatoa - So Shiny!,62,23,0.3709677419354839,-0.0337696422045779
Inkrunner,177,65,0.3672316384180791,-0.037505745721982675
Gold Coin,47,17,0.3617021276595745,-0.04303525648048728
Unconventional Tool,136,49,0.3602941176470588,-0.04444326649300295
Basil's Magnifying Glass,98,35,0.35714285714285715,-0.04759452699720462
Keep the Ancient Ways,14,5,0.35714285714285715,-0.04759452699720462
Webby Vanderquack - Junior Prospector,14,5,0.35714285714285715,-0.04759452699720462
Lucky Dime,51,18,0.35294117647058826,-0.051796207669473515
Oswald - The Lucky Rabbit,135,46,0.34074074074074073,-0.06399664339932104
Rapunzel - Gifted with Healing,18,6,0.3333333333333333,-0.07140405080672846
Webby Vanderquack - Mystery Enthusiast,15,5,0.3333333333333333,-0.07140405080672846
Lady - Decisive Dog,12,4,0.3333333333333333,-0.07140405080672846
Diablo - Devoted Herald,9,3,0.3333333333333333,-0.07140405080672846
Diablo - Obedient Raven,9,3,0.3333333333333333,-0.07140405080672846
Mr. Smee - Bumbling Mate,9,3,0.3333333333333333,-0.07140405080672846
Daisy Duck - Donald's Date,16,5,0.3125,-0.09223738414006177
Cogsworth - Grandfather Clock,13,4,0.3076923076923077,-0.09704507644775406
Someone Will Lose His Head,13,4,0.3076923076923077,-0.09704507644775406
John Smith - Skillful Explorer,10,3,0.3,-0.10473738414006178
Ruby Chromicon,28,8,0.2857142857142857,-0.11902309842577607
Nani - Stage Manager,14,4,0.2857142857142857,-0.11902309842577607
Eilonwy - Princess of Llyr,7,2,0.2857142857142857,-0.11902309842577607
Lady - Miss Park Avenue,15,4,0.26666666666666666,-0.1380707174733951
Merlin - Goat,8,2,0.25,-0.15473738414006177
Go Go Tomago - Darting Dynamo,9,2,0.2222222222222222,-0.18251516191783956
Piglet - Pooh Pirate Captain,9,2,0.2222222222222222,-0.18251516191783956
Might Solve a Mystery,35,7,0.2,-0.20473738414006176
Giant Cobra - Ghostly Serpent,10,2,0.2,-0.20473738414006176
Gathering Knowledge and Wisdom,6,1,0.16666666666666666,-0.23807071747339512
Hidden Cove - Tranquil Haven,6,1,0.16666666666666666,-0.23807071747339512
McDuck Manor - Scrooge's Mansion,6,1,0.16666666666666666,-0.23807071747339512
Diablo - Maleficent's Spy,7,1,0.14285714285714285,-0.2618802412829189
Amethyst Chromicon,6,0,0.0,-0.4047373841400618
