card_name,games_with_card,losses_with_card,loss_rate_with_card,loss_lift_vs_baseline,loss_odds_ratio_approx
Fergus - King of DunBroch,6,5,0.8333333333333334,0.4296394019349165,2.0642675161826456
Dumptruck - Karnage's Second Mate,5,4,0.8,0.3963060686015832,1.9816969146200616
Lawrence - Jealous Manservant,5,4,0.8,0.3963060686015832,1.9816969146200616
Namaari - Single-Minded Rival,5,4,0.8,0.3963060686015832,1.9816969146200616
The Headless Horseman - Terror of Sleepy Hollow,5,4,0.8,0.3963060686015832,1.9816969146200616
Lady - Family Dog,15,11,0.7333333333333333,0.3296394019349164,1.8165557114948936
Kakamora - Long-Range Specialist,7,5,0.7142857142857143,0.31059178288729744,1.7693725106019886
Minnie Mouse - Practical Traveler,7,5,0.7142857142857143,0.31059178288729744,1.7693725106019886
Hypnotize,20,14,0.7,0.2963060686015831,1.7339851099323096
Lilo - Bundled Up,16,11,0.6875,0.28380606860158314,1.7030211343463406
Pocahontas - Following the Wind,12,8,0.6666666666666666,0.26297273526824977,1.6514145083697256
Chernabog - Evildoer,6,4,0.6666666666666666,0.26297273526824977,1.6514145083697256
Hidden Cove - Tranquil Haven,17,11,0.6470588235294118,0.24336489213099494,1.6028435662740883
Rex - Protective Dinosaur,22,14,0.6363636363636364,0.2326697049652195,1.5763503251310131
Finnick - Tiny Terror,16,10,0.625,0.22130606860158314,1.5482012564164958
Basil's Magnifying Glass,8,5,0.625,0.22130606860158314,1.5482012564164958
"Next Stop, Olympus",8,5,0.625,0.22130606860158314,1.5482012564164958
Lucky Dime,28,17,0.6071428571428571,0.20344892574444023,1.5039670055793972
Piglet - Pooh Pirate Captain,86,52,0.6046511627906976,0.20095723139228078,1.4977947845323603
Brom Bones - Burly Bully,10,6,0.6,0.19630606860158312,1.4862733052445578
Louis - Endearing Alligator,5,3,0.6,0.19630606860158312,1.4862733052445578
Ludwig Von Drake - All-Around Expert,5,3,0.6,0.19630606860158312,1.4862733052445578
Mulan - Disguised Soldier,5,3,0.6,0.19630606860158312,1.4862733052445578
Patch - Playful Pup,5,3,0.6,0.19630606860158312,1.4862733052445578
Thunderbolt - Wonder Dog,5,3,0.6,0.19630606860158312,1.4862733052445578
Lady - Miss Park Avenue,44,26,0.5909090909090909,0.18721515951067408,1.463754050272944
Beyond the Horizon,17,10,0.5882352941176471,0.18454136271923022,1.4571307399871753
Cursed Merfolk - Ursula's Handiwork,17,10,0.5882352941176471,0.18454136271923022,1.4571307399871753
Rhino - Power Hamster,21,12,0.5714285714285714,0.16773464003015454,1.4154985039052002
Rajah - Devoted Protector,14,8,0.5714285714285714,0.16773464003015454,1.4154985039052002
Might Solve a Mystery,7,4,0.5714285714285714,0.16773464003015454,1.4154985039052002
Webby Vanderquack - Mystery Enthusiast,30,17,0.5666666666666667,0.1629727352682498,1.4037027036819738
Mowgli - Man Cub,53,30,0.5660377358490566,0.16234380445063973,1.4021447678034347
Flynn Rider - Frenemy,16,9,0.5625,0.15880606860158314,1.393381378486651
Nala - Undaunted Lioness,16,9,0.5625,0.15880606860158314,1.393381378486651
Lilo - Escape Artist,43,24,0.5581395348837209,0.15444560348530406,1.3825799916543362
Has Set My Heaaaaaaart...,18,10,0.5555555555555556,0.15186162415713872,1.3761791698277794
Cogsworth - Grandfather Clock,9,5,0.5555555555555556,0.15186162415713872,1.3761791698277794
Luisa Madrigal - Pushing Through,9,5,0.5555555555555556,0.15186162415713872,1.3761791698277794
Stegmutt - Clumsy Dinosaur,11,6,0.5454545454545454,0.14176061405612855,1.351157775414875
Nani - Stage Manager,92,50,0.5434782608695652,0.13978432947114833,1.3462622852036545
Gathering Knowledge and Wisdom,13,7,0.5384615384615384,0.13476760706312158,1.3338352715905566
Daisy Duck - Donald's Date,121,65,0.5371900826446281,0.13349615124621123,1.3306857254406808
Tramp - Street-Smart Dog,41,22,0.5365853658536586,0.1328914344552417,1.3291877705645203
Under the Sea,28,15,0.5357142857142857,0.13202035431586884,1.327030002231003
Lady - Decisive Dog,88,47,0.5340909090909091,0.1303969776924922,1.3230087067003578
Rhino - One-Sixteenth Wolf,30,16,0.5333333333333333,0.12963940193491647,1.32113210211939
Cri-Kee - Lucky Cricket,23,12,0.5217391304347826,0.11804519903636573,1.2924118928802304
Tramp - Enterprising Dog,73,38,0.5205479452054794,0.11685401380706256,1.2894611864515495
Chip - Quick Thinker,25,13,0.52,0.11630606860158316,1.2881038614943565
The Bare Necessities,27,14,0.5185185185185185,0.11482458712010163,1.2844340569804638
Mulan - Resourceful Recruit,70,36,0.5142857142857142,0.11059178288729737,1.2739489012264849
Sudden Chill,123,63,0.5121951219512195,0.10850119055280266,1.2687702572260442
Diablo - Devoted Herald,127,64,0.5039370078740157,0.10024307647559888,1.2483139338122293
Grandmother Willow - Ancient Advisor,42,21,0.5,0.09630606860158314,1.238561500556806
Della's Moon Lullaby,20,10,0.5,0.09630606860158314,1.238561500556806
Webby Vanderquack - Junior Prospector,20,10,0.5,0.09630606860158314,1.238561500556806
Kuzco - Selfish Emperor,12,6,0.5,0.09630606860158314,1.238561500556806
The Prince - Searching for His Love,10,5,0.5,0.09630606860158314,1.238561500556806
Honeymaren - Northuldra Guide,8,4,0.5,0.09630606860158314,1.238561500556806
Pluto - Steel Champion,8,4,0.5,0.09630606860158314,1.238561500556806
Archimedes - Resourceful Owl,6,3,0.5,0.09630606860158314,1.238561500556806
Incrediboy - Buddy Pine,6,3,0.5,0.09630606860158314,1.238561500556806
Mayor Winddancer - Actor-Turned-Politician,6,3,0.5,0.09630606860158314,1.238561500556806
Slushy - Glacial Guster,6,3,0.5,0.09630606860158314,1.238561500556806
Splatter Phoenix - Rejected Artist,6,3,0.5,0.09630606860158314,1.238561500556806
Ursula - Deceiver of All,92,45,0.4891304347826087,0.08543650338419184,1.2116363043950937
Prince John - Greediest of All,119,58,0.48739495798319327,0.0837010265847764,1.2073373234953246
Doc - Bold Knight,64,31,0.484375,0.08068106860158314,1.1998565310743448
