first_quest_turn,game_count,outcome,pct
-1,271,Loss,0.5904139433551199
2,18,Loss,0.0392156862745098
3,40,Loss,0.08714596949891068
4,43,Loss,0.09368191721132897
5,38,Loss,0.08278867102396514
6,21,Loss,0.0457516339869281
7,14,Loss,0.030501089324618737
8,6,Loss,0.013071895424836602
9,2,Loss,0.004357298474945534
10,2,Loss,0.004357298474945534
11,2,Loss,0.004357298474945534
12,2,Loss,0.004357298474945534
-1,302,Win,0.44542772861356933
2,37,Win,0.05457227138643068
3,53,Win,0.07817109144542773
4,56,Win,0.08259587020648967
5,55,Win,0.08112094395280237
6,48,Win,0.07079646017699115
7,38,Win,0.05604719764011799
8,29,Win,0.04277286135693215
9,19,Win,0.028023598820058997
10,23,Win,0.03392330383480826
11,9,Win,0.01327433628318584
12,1,Win,0.0014749262536873156
13,5,Win,0.007374631268436578
14,2,Win,0.0029498525073746312
16,1,Win,0.0014749262536873156
