turn_number,avg_count,event_type,outcome
1,1.3304347826086957,CARD_PLAYED,Loss
2,1.5229357798165137,CARD_PLAYED,Loss
3,1.6233183856502242,CARD_PLAYED,Loss
4,1.8565022421524664,CARD_PLAYED,Loss
5,2.3175355450236967,CARD_PLAYED,Loss
6,2.265957446808511,CARD_PLAYED,Loss
7,2.4387096774193546,CARD_PLAYED,Loss
8,2.488,CARD_PLAYED,Loss
9,2.8260869565217392,CARD_PLAYED,Loss
10,2.8225806451612905,CARD_PLAYED,Loss
11,2.4705882352941178,CARD_PLAYED,Loss
12,3.4444444444444446,CARD_PLAYED,Loss
1,1.3349056603773586,CARD_PLAYED,Win
2,1.5635179153094463,CARD_PLAYED,Win
3,2.0,CARD_PLAYED,Win
4,2.523219814241486,CARD_PLAYED,Win
5,2.692556634304207,CARD_PLAYED,Win
6,3.378839590443686,CARD_PLAYED,Win
7,3.254612546125461,CARD_PLAYED,Win
8,3.399103139013453,CARD_PLAYED,Win
9,3.538011695906433,CARD_PLAYED,Win
10,3.7338129496402876,CARD_PLAYED,Win
11,3.95959595959596,CARD_PLAYED,Win
12,3.1194029850746268,CARD_PLAYED,Win
2,1.0,CARD_QUEST,Loss
3,1.326086956521739,CARD_QUEST,Loss
4,1.5272727272727273,CARD_QUEST,Loss
5,1.5909090909090908,CARD_QUEST,Loss
6,1.8507462686567164,CARD_QUEST,Loss
7,1.9285714285714286,CARD_QUEST,Loss
8,2.130434782608696,CARD_QUEST,Loss
9,2.324324324324324,CARD_QUEST,Loss
10,1.6363636363636365,CARD_QUEST,Loss
11,1.5555555555555556,CARD_QUEST,Loss
12,1.5,CARD_QUEST,Loss
2,1.0833333333333333,CARD_QUEST,Win
3,1.5081967213114753,CARD_QUEST,Win
4,1.6896551724137931,CARD_QUEST,Win
5,1.9646017699115044,CARD_QUEST,Win
6,2.1901408450704225,CARD_QUEST,Win
7,2.671641791044776,CARD_QUEST,Win
8,2.5929203539823007,CARD_QUEST,Win
9,2.76,CARD_QUEST,Win
10,2.4146341463414633,CARD_QUEST,Win
11,2.482142857142857,CARD_QUEST,Win
12,2.857142857142857,CARD_QUEST,Win
3,5.454545454545454,CARD_ATTACK,Loss
4,6.482758620689655,CARD_ATTACK,Loss
5,6.888888888888889,CARD_ATTACK,Loss
6,8.285714285714286,CARD_ATTACK,Loss
7,7.384615384615385,CARD_ATTACK,Loss
8,6.232558139534884,CARD_ATTACK,Loss
9,6.758620689655173,CARD_ATTACK,Loss
10,5.882352941176471,CARD_ATTACK,Loss
11,4.5,CARD_ATTACK,Loss
2,5.714285714285714,CARD_ATTACK,Win
3,4.6,CARD_ATTACK,Win
4,5.9411764705882355,CARD_ATTACK,Win
5,6.6947368421052635,CARD_ATTACK,Win
6,7.870967741935484,CARD_ATTACK,Win
7,7.081081081081081,CARD_ATTACK,Win
8,7.428571428571429,CARD_ATTACK,Win
9,6.7272727272727275,CARD_ATTACK,Win
10,5.565217391304348,CARD_ATTACK,Win
11,5.473684210526316,CARD_ATTACK,Win
12,6.181818181818182,CARD_ATTACK,Win
1,1.201219512195122,CARD_INKED,Loss
2,1.2413793103448276,CARD_INKED,Loss
3,1.2434782608695651,CARD_INKED,Loss
4,1.2206572769953052,CARD_INKED,Loss
5,1.2275132275132274,CARD_INKED,Loss
6,1.1972789115646258,CARD_INKED,Loss
7,1.2162162162162162,CARD_INKED,Loss
8,1.2162162162162162,CARD_INKED,Loss
9,1.1551724137931034,CARD_INKED,Loss
10,1.2285714285714286,CARD_INKED,Loss
11,1.0526315789473684,CARD_INKED,Loss
12,1.0,CARD_INKED,Loss
1,1.2105263157894737,CARD_INKED,Win
2,1.2599388379204892,CARD_INKED,Win
3,1.2317073170731707,CARD_INKED,Win
4,1.2258064516129032,CARD_INKED,Win
5,1.2194244604316546,CARD_INKED,Win
6,1.25,CARD_INKED,Win
7,1.2376237623762376,CARD_INKED,Win
8,1.2272727272727273,CARD_INKED,Win
9,1.2093023255813953,CARD_INKED,Win
10,1.2105263157894737,CARD_INKED,Win
11,1.1875,CARD_INKED,Win
12,1.1282051282051282,CARD_INKED,Win
